applicant_id,full_name,ssn,date_of_birth,address,employer_name,annual_income,credit_score,loan_amount,loan_purpose,email,phone_number,time_at_address_months,time_at_employer_months,num_recent_inquiries,is_fraud
APP-000018,Michelle Brown,507-27-7912,1957-10-17,"0366 Melissa Track Suite 705, Karenchester, ND 98479",Peakstone Retail,70100,693,12000,auto,tracynelson@example.com,065-627-2980,210,226,4,0
APP-000019,Leslie Alvarado,659-11-2528,1974-10-07,"72046 Lewis Islands Suite 646, Maryfort, AK 98677",Summit Financial Group,121669,744,47000,medical,cookemichael@example.net,100-330-9232,119,212,3,0
APP-000020,Brian Gould,763-68-5673,1995-12-04,"2991 Tami Coves Apt. 496, Davidborough, CA 78108",BrightPath Education,59413,701,32500,wedding,curtisbarton@example.net,919-058-6518,237,21,4,0
APP-000021,Alexandria Fisher,582-67-3275,1966-03-30,"7262 Gilbert Plain Suite 769, Marcusbury, MP 11860",Greenline Telecom,138910,607,15000,vacation,nicole37@example.net,965-075-2735,20,154,4,1
APP-000022,Gina Beard,480-61-2964,1957-06-16,"083 John Lodge Suite 837, Westtown, CO 39067",Greenline Telecom,71628,805,28500,small_business,richardsanchez@example.net,957-885-6855,223,53,0,0
APP-000023,Denise King,490-40-5351,1959-09-17,"1823 Joanna Harbor, Tinaborough, LA 30317",BrightPath Education,102552,724,367000,medical,harry08@example.org,400-842-7109,150,139,3,1
APP-000024,John Peterson,739-78-4492,1993-05-17,"Unit 4711 Box 6719, DPO AP 90475",Pioneer Foods,121224,659,428000,auto,hernandezlisa@example.com,131-869-9938,8,123,2,1
APP-000025,Terry Evans,698-88-9666,1983-09-01,"9909 Stacey Fords Apt. 412, East Andrea, GA 00851",North Ridge Logistics,126069,796,59500,wedding,mhayes@example.com,403-447-1349,68,100,2,0
APP-000026,Taylor Coleman,556-87-4450,1961-08-25,"2102 Larson Views, Scottmouth, UT 40358",Silver Oak Pharmacy,212220,556,16500,moving,gbender@example.net,771-906-5940,73,35,1,1
APP-000027,Vernon Huff,625-15-1058,1976-01-15,"490 Thomas Run, Moonburgh, OR 57633",Crescent Energy,161264,682,61000,medical,ecosta@example.com,655-125-6746,237,238,3,0
APP-000028,Krista Gibson,539-79-1590,1966-11-07,"68087 Brown Path Suite 977, East Josephberg, LA 57925",Crescent Energy,140750,775,16000,education,omartinez@example.net,324-808-6131,186,115,1,0
APP-000029,Bruce Collier,775-36-5088,1990-11-30,"467 Sanchez Plaza Apt. 639, Port Chad, WI 54888",Atlas Construction,153049,619,15000,home_improvement,sarah84@example.org,449-972-7875,99,236,7,0
APP-000030,Phillip Bennett,122-62-1406,2002-08-02,"USNS Pollard, FPO AE 75447",Peakstone Retail,110191,766,53500,moving,xhall@example.com,057-662-7028,164,197,3,0
APP-000031,Evelyn Garcia,615-68-6728,1974-08-14,"702 Pitts Drives, South Kimberlyview, MA 82192",Redwood Manufacturing,53595,593,101000,small_business,vsantos@example.net,865-780-9134,103,229,5,1
APP-000032,Nicole Hamilton MD,515-61-9785,1954-06-24,"2400 Flynn Hill, Nicholasberg, IA 70122",Crescent Energy,62638,701,15500,debt_consolidation,yknight@example.org,221-969-3792,90,77,1,0
APP-000033,Mark Stevens,630-65-9379,1975-10-16,"8217 Huerta Hills Suite 474, South Melissa, CT 31592",Blue Harbor Health,109064,613,26500,major_purchase,karmstrong@example.com,406-409-0974,15,33,5,0
APP-000034,Crystal Pham,615-56-8066,1975-03-17,"421 Kyle Mill, New Michaelberg, CO 39181",Blue Harbor Health,137150,547,375500,moving,julie23@example.org,858-842-4745,6,139,7,1
APP-000035,Julie Jones,557-80-3085,1963-07-15,"685 Krystal Bridge, Amandamouth, MN 88689",Summit Financial Group,141408,759,38000,major_purchase,brenda51@example.net,370-985-9317,135,85,3,0
APP-000036,Elizabeth Ortiz,575-84-6279,1967-12-20,"7113 Paul Land, Matthewsberg, FM 54880",UrbanCore Services,163995,688,35000,vacation,basschristina@example.com,053-773-5158,109,146,4,0
APP-000037,Maria Brown,632-21-4848,1971-07-12,"1390 Kristin Gardens, Port Anne, CA 73142",Atlas Construction,67680,671,26500,auto,brendali@example.org,529-042-2842,174,27,2,0
APP-000038,Sean Anderson,648-63-4185,1970-03-22,"502 Williams Streets, Foxland, NJ 59257",Silver Oak Pharmacy,122598,585,54000,major_purchase,william17@example.net,390-847-0076,68,127,9,0
APP-000039,Brian Joseph,565-35-3467,1988-03-17,"9212 Weber Prairie, Oscarhaven, LA 59970",UrbanCore Services,144938,580,64500,debt_consolidation,sgarcia@example.org,836-736-5766,234,198,5,1
APP-000040,Emily Edwards,576-88-9270,1963-03-30,"711 Christopher Court, Lisaside, AR 77370",BrightPath Education,133474,709,70500,wedding,elizabeth65@example.net,604-945-1983,176,141,4,0
APP-000041,John Boone,586-72-4919,1966-08-20,"49368 Chelsea Shoals Suite 024, Sandrastad, AL 24278",Redwood Manufacturing,198725,770,42000,vacation,ashleymorales@example.org,018-366-7525,121,72,0,0
APP-000042,Frederick Pugh,619-59-3503,1977-12-27,"29014 Stanley Oval, Perryborough, WV 67655",Silver Oak Pharmacy,110498,622,16000,small_business,reeddaniel@example.net,978-403-6900,87,234,3,0
APP-000043,Tony Saunders,662-83-7232,1989-07-29,"1076 David Place Apt. 885, South Michelleton, NE 02957",UrbanCore Services,66104,719,17500,debt_consolidation,umorse@example.net,696-641-6052,125,112,3,0
APP-000044,Lisa Collier,618-72-4595,1979-02-22,"PSC 1613, Box 6968, APO AE 52374",Redwood Manufacturing,160632,794,73000,major_purchase,julie35@example.org,181-883-5523,234,219,3,0
APP-000045,David Thompson,536-66-8873,1954-12-17,"77997 Lin Road, Edwardland, NJ 58462",North Ridge Logistics,113482,735,224000,major_purchase,laura90@example.com,814-770-0541,179,210,5,1
APP-000046,Vanessa Davis,106-43-7211,2002-12-27,"9807 Marc Mountains Apt. 071, Toniland, NY 85190",Crescent Energy,59011,660,17500,small_business,benjaminzimmerman@example.com,889-255-4665,170,115,4,0
APP-000047,Amy Mccoy,720-12-9837,1981-09-05,"86449 Mathew Prairie Apt. 546, New Jeanne, CO 41078",North Ridge Logistics,168787,698,75000,moving,vschneider@example.org,816-850-5423,77,198,2,0
APP-000048,Ralph Lee,452-89-3496,1958-07-06,"Unit 2141 Box 8880, DPO AP 44641",Summit Financial Group,94872,781,16500,medical,carlamoore@example.org,927-065-3794,16,199,3,0
APP-000049,Rachel Young,534-30-6096,1962-08-14,"59774 Shaw Manor Apt. 392, Brettfort, VI 49156",Blue Harbor Health,81206,677,20500,education,dawsonzachary@example.org,412-478-2613,1,1,1,1
APP-000050,Stacey Arias,691-23-5941,1980-05-05,"536 Nicholas Burgs Suite 152, North Justin, MP 62426",Atlas Construction,92916,698,37500,education,katherineharrison@example.net,010-432-8986,107,189,1,0
APP-000051,Dwayne Turner,143-11-7882,2003-02-16,"971 Mary Parks Apt. 893, West Ruben, RI 46745",UrbanCore Services,153770,762,49000,home_improvement,ashleylopez@example.net,185-188-8880,142,115,3,0
APP-000052,John Reid,694-88-9817,1984-11-06,"Unit 4051 Box 5319, DPO AP 99680",UrbanCore Services,113371,708,60500,vacation,dennis58@example.com,277-221-7043,187,45,4,0
APP-000053,Curtis Williams,649-82-7209,1976-06-07,"USCGC Hays, FPO AP 62550",Crescent Energy,90578,681,17500,debt_consolidation,benjamin34@example.com,054-156-6765,218,28,4,0
APP-000054,Kathleen Jimenez,695-81-1166,1981-07-07,"PSC 8416, Box 1692, APO AP 39005",Pioneer Foods,191294,540,16000,small_business,curtis54@example.com,796-275-7059,96,210,3,1
APP-000055,Mrs. Veronica Gould MD,626-46-4102,1974-01-03,"202 Johnson Cliff Apt. 556, New Ericmouth, MN 49261",Blue Harbor Health,134420,771,51500,auto,khines@example.org,856-543-1027,148,200,1,1
APP-000056,Susan Wilson,714-80-6419,1988-08-20,"94731 Melissa Mission Apt. 715, Jennaside, ND 38559",Crescent Energy,116364,689,38500,vacation,melissa25@example.net,313-237-0589,175,154,3,0
APP-000057,Robert Arnold,613-34-4545,1979-11-12,"46786 Morrow Cliffs, West Dawn, NV 61558",Silver Oak Pharmacy,73044,595,31500,vacation,david89@example.org,268-018-2422,190,55,6,0
APP-000058,Michael Reed,146-32-5952,2005-04-01,"USNV Singleton, FPO AA 26230",North Ridge Logistics,87711,833,19000,wedding,david49@example.net,182-992-2995,158,78,1,0
APP-000059,Kristy Bryan,652-23-1200,1976-12-18,"943 Montgomery Burgs, Smallside, LA 84637",Greenline Telecom,123977,523,47000,auto,timothy64@example.com,102-767-7359,147,80,9,0
APP-000060,Scott Flores,781-72-2213,1995-04-21,"Unit 5625 Box 8815, DPO AE 61642",Greenline Telecom,95306,673,44500,debt_consolidation,adamsjohn@example.org,046-963-2595,19,70,2,0
APP-000061,Christopher Ferrell,548-76-7232,1965-09-27,"0168 Levy Forge Suite 004, Harperfort, LA 70846",UrbanCore Services,71717,759,26000,vacation,booneryan@example.com,565-060-9835,27,69,2,0
APP-000062,Angel Gordon,126-90-4457,2005-02-25,"912 Phillip Underpass Suite 852, New William, NY 05777",Redwood Manufacturing,83633,819,44000,home_improvement,williamsjennifer@example.com,872-982-5952,151,164,1,0
APP-000063,Luis Kirby,650-47-1534,1973-11-15,"947 Micheal Spring Apt. 694, New Thomasshire, OK 30325",Summit Financial Group,82073,589,33000,auto,silvageorge@example.net,962-309-1307,2,1,6,1
APP-000064,Christian Vaughn,789-69-5649,1993-02-01,"028 Ann Shore Suite 865, South Rhonda, MA 72102",Pioneer Foods,140879,534,55000,small_business,erica49@example.com,334-843-4437,73,207,4,1
APP-000065,Gregory Peck,626-66-3037,1976-03-09,"1986 Cardenas Trail Apt. 404, West Sandraview, WA 63294",UrbanCore Services,163181,744,70500,auto,jamesryan@example.net,421-993-3083,0,1,3,1
APP-000066,Amy Gutierrez,622-13-2496,1976-10-11,"208 Richard Wells, Woodsborough, WV 38150",Summit Financial Group,130153,713,343500,education,justin01@example.net,938-026-2067,118,26,5,1
APP-000067,Paul Brennan,506-45-3973,1954-03-20,"49915 Gibson Row, Smallberg, PR 66589",Greenline Telecom,144598,843,43500,major_purchase,znelson@example.org,527-420-5493,216,74,3,0
APP-000068,Scott Prince,618-91-8421,1960-07-16,"61227 Boyle Avenue Suite 637, Stephanieport, OR 95250",Pioneer Foods,134912,702,31500,debt_consolidation,greenmichael@example.org,017-426-8414,91,88,4,1
APP-000069,Daniel Bernard,520-94-9889,1960-04-03,"956 Todd Unions Apt. 391, Ricestad, CA 74447",UrbanCore Services,126538,691,59000,major_purchase,brownamy@example.net,398-225-8713,35,203,1,0
APP-000070,Katherine Nolan,536-46-8178,1969-03-08,"2867 Angelica Spring, Jenniferfurt, KS 00896",Silver Oak Pharmacy,131368,729,23000,vacation,bethwilliams@example.com,180-170-4622,199,133,1,0
APP-000071,Veronica Brewer,502-21-4681,1954-12-11,"6618 Desiree Keys Apt. 286, Lake Tiffany, MP 00956",Blue Harbor Health,171087,838,58000,vacation,goodsteven@example.net,868-633-7524,210,67,0,0
APP-000072,Shaun Cannon,551-68-3369,1966-03-03,"033 Craig Bypass Suite 903, South Scottside, IL 99379",BrightPath Education,103128,687,350500,small_business,taylorvictoria@example.org,959-953-4283,136,186,5,1
APP-000073,Donald Hawkins,794-44-1042,1997-12-14,"687 Teresa Row, Floydmouth, UT 55069",Redwood Manufacturing,88311,748,21000,auto,yhernandez@example.org,873-342-7086,227,23,3,0
APP-000074,Kristin Anderson,561-34-4912,1965-09-08,"1751 Brett Lane, Port Charlesshire, VA 88509",Greenline Telecom,135975,711,35000,major_purchase,timothybooth@example.com,403-317-3936,94,91,2,0
APP-000075,Kristen Rowe,679-73-1606,1989-03-17,"4587 Garcia Stravenue Suite 535, Robertshire, VI 29503",Peakstone Retail,142310,567,75000,wedding,allentran@example.net,964-235-3693,127,186,7,0
APP-000076,Mr. Michael Scott PhD,539-19-8692,1961-05-11,"Unit 7725 Box 2287, DPO AE 71559",Redwood Manufacturing,130737,768,35500,moving,warrenmary@example.org,006-231-2038,31,140,3,0
APP-000077,Antonio Little,512-79-1588,1959-07-24,"USCGC Hopkins, FPO AE 01367",Greenline Telecom,158814,794,59500,home_improvement,hsmith@example.net,484-086-2118,178,225,1,0
APP-000078,Corey Fox,602-66-3725,1978-02-19,"1567 Veronica Fork Suite 101, Grayside, NJ 07856",Silver Oak Pharmacy,120072,847,49500,auto,warnerchristopher@example.com,591-803-3974,29,117,0,0
APP-000079,Benjamin Frost,517-62-3950,1956-06-25,"PSC 9025, Box 0392, APO AP 52706",Peakstone Retail,85570,657,12500,medical,evansanne@example.net,685-621-8501,81,97,1,0
APP-000080,Ryan Peterson,692-68-5183,1986-09-04,"0477 Michael Lane Suite 296, Port Christinebury, VT 10135",Atlas Construction,132463,680,39500,debt_consolidation,adamsnorman@example.net,265-511-0475,133,239,4,0
APP-000081,Ashley Miller,644-98-5097,1978-02-28,"01581 Shields Bridge Suite 661, New Adriana, TX 50404",UrbanCore Services,84836,670,18500,auto,dominicturner@example.com,212-646-4715,24,119,2,0
APP-000082,David Weber,697-12-7484,1986-11-13,"1240 Cook River, Brockmouth, NV 44375",Redwood Manufacturing,226936,547,30500,debt_consolidation,pochoa@example.net,245-937-5265,66,103,0,1
APP-000083,Michael Henry,758-91-4115,1996-12-01,"6465 Sarah Flats, Lake Katrina, AK 95818",Greenline Telecom,210812,797,75000,auto,nhahn@example.com,416-724-3426,79,204,1,0
APP-000084,Angela Ewing,536-21-5835,1961-01-26,"868 Krystal Lake Apt. 135, Lake Cheyenne, OK 85046",Crescent Energy,166030,781,58500,major_purchase,vrasmussen@example.com,101-438-8899,1,3,1,1
APP-000085,James Ford,611-42-8894,1970-05-15,"0714 Knapp Corner, Port Sheliaberg, MI 41381",Redwood Manufacturing,106687,649,54500,moving,stanley38@example.com,571-775-1401,230,99,3,0
APP-000086,Greg Rodriguez,776-21-7464,1994-05-16,"282 Castro Mountain, Port Richard, HI 24931",North Ridge Logistics,192522,809,75000,auto,vfoster@example.net,379-660-3341,199,63,0,0
APP-000087,Rebecca Herrera,743-96-4830,1993-02-26,"1478 Harper Ridge, Matthewsstad, MI 60513",UrbanCore Services,124224,736,65000,debt_consolidation,lisamccarthy@example.com,991-251-3412,73,155,5,0
APP-000088,Charles Price,138-93-7689,2002-09-21,"2782 Tracy Dam Apt. 579, Port Michaeltown, NM 18396",Blue Harbor Health,76598,728,39000,medical,lisamaynard@example.net,767-677-2190,3,0,1,1
APP-000089,Connie Johnson,508-57-9850,1955-09-11,"79788 Ashley Grove Suite 807, South Curtis, MP 86179",BrightPath Education,87869,713,326500,education,kennethkidd@example.com,451-713-3959,35,30,2,1
APP-000090,Carol Taylor,716-40-6942,1989-07-29,"95849 Mario Squares, Keithview, PR 67926",Blue Harbor Health,91627,712,16500,moving,taylorkaren@example.com,042-232-5367,163,110,5,0
APP-000091,Mark Burton,687-92-1349,1984-07-14,"168 Neal Wells, Shawnfort, MD 76779",North Ridge Logistics,135572,537,16500,moving,meltonmelanie@example.org,751-863-6374,3,0,5,1
APP-000092,Drew Kelley,549-52-3417,1963-08-27,"0017 David Walks Apt. 770, Harrisberg, FM 85697",Greenline Telecom,160178,753,360000,debt_consolidation,erik41@example.net,541-520-6436,23,218,2,1
APP-000093,Michele Smith,536-11-6869,1965-05-03,"387 Alan Junctions, Port Robertberg, NJ 09784",Summit Financial Group,131254,834,64000,education,patrickcross@example.org,155-426-2218,70,210,2,0
APP-000094,Lisa Martin,152-31-3436,1953-10-09,"269 Heath Corners, East Karenshire, VA 50836",Crescent Energy,21533,838,13500,wedding,sylvia52@example.org,413-899-9404,38,195,3,1
APP-000095,Lawrence Lopez,788-92-1510,1992-11-27,"76137 Allison Bridge, Sarahberg, MS 74999",North Ridge Logistics,181489,728,59000,vacation,rdiaz@example.org,710-910-4300,17,192,4,0
APP-000096,Jennifer Mitchell,748-18-3067,1990-08-07,"6188 Joshua Inlet Apt. 832, Peterland, ME 92077",Redwood Manufacturing,20305,808,25000,education,pblair@example.org,316-179-9042,188,238,5,1
APP-000097,Michael Miles,112-99-2874,2001-07-20,"842 Martinez Tunnel Suite 105, Nelsonland, KS 93866",Atlas Construction,137332,764,50000,wedding,crawfordwilliam@example.org,792-524-1913,158,141,1,0
APP-000098,April Trevino,742-50-7992,1990-12-09,"5622 Angela Station, Walkerbury, MT 94910",Crescent Energy,144639,679,38500,auto,joseph19@example.com,180-238-0617,0,2,3,1
APP-000099,Patricia Collins,567-26-1982,1966-01-18,"53494 Steven Ramp Suite 383, North Sarah, AK 31040",Greenline Telecom,149961,710,42500,wedding,cynthia05@example.org,641-383-6702,23,29,5,0
APP-000100,Anna Morse,666-46-6119,1981-12-05,"PSC 8657, Box 1918, APO AE 84022",Crescent Energy,201773,527,75000,home_improvement,kjones@example.org,623-445-6557,96,229,5,1
APP-000101,Benjamin Harris,592-55-9535,1997-11-16,"12775 Martinez Knolls, South Kyle, KS 16218",Greenline Telecom,56944,641,27000,small_business,mooregina@example.net,903-521-3568,63,222,8,1
APP-000102,Edwin Wilkins,134-13-3955,2002-09-06,"8831 Garcia Underpass Apt. 100, East James, MO 49291",Redwood Manufacturing,155869,839,433500,auto,aguilarjonathan@example.org,013-721-5107,163,178,2,1
APP-000103,Thomas Hamilton,663-21-9691,1983-11-06,"66253 Joshua Mission Apt. 099, Lake Kenneth, MT 72680",Summit Financial Group,122339,575,18000,major_purchase,rbrown@example.com,263-838-0657,42,150,8,0
APP-000104,Kari Durham,736-29-3579,1993-01-20,"2059 Anthony Valleys Suite 078, Katiebury, GA 13625",Greenline Telecom,116735,697,42000,debt_consolidation,dianeadams@example.net,039-652-2395,85,190,1,0
APP-000105,Melissa Sloan,655-24-6655,1976-10-07,"929 Mary Valleys Suite 842, Johnsonton, IN 79362",BrightPath Education,116736,704,21000,home_improvement,andrewwoods@example.com,932-525-0029,3,0,3,1
APP-000106,Brenda Rodriguez,768-37-3248,1996-01-05,"56915 Morris Estate Suite 752, Jeffreyshire, GU 23484",Redwood Manufacturing,95678,689,8000,auto,sparker@example.com,220-969-0295,17,62,3,0
APP-000107,Tracy Walker,584-81-6802,1963-02-13,"51355 Daisy Corners Suite 704, East Heather, MI 34141",Blue Harbor Health,40770,567,83000,major_purchase,lebrandon@example.com,626-765-8617,116,50,2,1
APP-000108,Laura Chang,783-47-2887,1991-06-29,"04054 Charles Extension Suite 218, West Brookefort, VT 04563",BrightPath Education,78797,578,27500,debt_consolidation,kdunlap@example.net,620-153-3688,25,226,7,0
APP-000109,Douglas Young,533-41-8138,1967-10-10,"05061 Colon Road Suite 310, East Danielle, CO 62572",Greenline Telecom,188342,779,23000,major_purchase,parkerraymond@example.com,418-625-6527,123,218,0,0
APP-000110,Jeremiah Baker,147-83-4327,1987-11-11,"11586 Angela Ville, Cardenaschester, ND 90556",Summit Financial Group,114431,787,13500,moving,parmstrong@example.com,416-089-8992,92,62,2,1
APP-000111,Peter Thompson,529-32-9095,1965-08-09,"Unit 3320 Box 6163, DPO AP 19883",UrbanCore Services,56228,598,148500,education,luis11@example.com,868-548-7099,71,56,9,1
APP-000112,Jennifer Perry,160-66-5961,2002-12-31,"91485 Baker Shoal, Armstrongfort, AZ 23071",Redwood Manufacturing,137556,729,400000,education,richard99@example.net,606-530-7450,88,227,1,1
APP-000113,Riley Collins,669-92-2479,1983-12-06,"24754 Jacobs Corners, South Jason, GU 53869",Greenline Telecom,60634,689,28500,education,xmalone@example.org,821-486-2890,124,121,5,0
APP-000114,Shaun Gonzalez,701-87-8792,1986-11-06,"0534 Colon Parkways, Reidville, TX 04506",Pioneer Foods,75948,720,29500,medical,nathanwheeler@example.org,798-552-4140,208,195,1,0
APP-000115,Christopher Armstrong,761-66-8199,1992-10-09,"Unit 3334 Box 6800, DPO AA 17843",Pioneer Foods,96859,623,15500,wedding,carolynsmith@example.com,944-665-7437,188,27,4,0
APP-000116,Joseph Hanson,702-18-6401,1985-01-01,"589 Evans Coves, Brownview, SC 43117",Blue Harbor Health,166011,686,17500,wedding,jose43@example.org,830-965-2074,105,110,4,0
APP-000117,Jason Price,634-49-7421,1977-11-05,"3875 Bruce Ville, West Connor, DC 97614",Peakstone Retail,107032,599,15500,education,jessica82@example.net,513-534-6554,91,26,3,0
APP-000118,Julie Wilson,727-21-7937,1980-02-17,"3816 Gutierrez Ways, East Victoria, MA 54134",Pioneer Foods,170663,732,70000,moving,tthomas@example.org,175-250-0743,208,90,1,0
APP-000119,Caroline Duran,677-29-2264,1984-11-19,"96666 Reyes Camp, Lake Nathan, AL 42734",Redwood Manufacturing,104696,677,19500,home_improvement,andrewsmith@example.net,335-421-6894,93,202,5,0
APP-000120,Rodney Evans,148-29-3658,2000-10-12,"2575 Frederick Valleys Suite 033, East Jessica, OR 66644",Peakstone Retail,22291,803,25500,education,daviddawson@example.org,648-909-0100,140,15,1,1
APP-000121,Jennifer James,787-39-9749,1991-08-15,"230 Fisher Courts Suite 992, Rivasville, NY 94711",Summit Financial Group,65972,543,14000,auto,campbellkristen@example.com,393-483-5642,179,190,9,0
APP-000122,Jon Clark,573-30-4271,1969-10-05,"USNV Young, FPO AE 88533",Greenline Telecom,159036,723,50500,medical,meadowsmary@example.net,721-811-4374,118,124,3,0
APP-000123,Anthony Li,486-20-3626,1957-01-13,"5611 Alec Dam Apt. 557, Natalieland, MN 45422",Redwood Manufacturing,149797,697,72000,vacation,danielross@example.com,467-621-2021,147,32,5,0
APP-000124,Kevin Pham,573-16-7495,1965-07-29,"659 Michelle Villages, South Samantha, DE 54408",Pioneer Foods,159957,745,552500,moving,qwilliams@example.net,508-993-5889,239,62,1,1
APP-000125,Matthew Wright,702-28-3254,1986-12-31,"89002 Christian Ways Apt. 175, West Tara, AR 66945",North Ridge Logistics,102810,823,49000,auto,andreagray@example.org,177-971-7751,63,13,3,0
APP-000126,Dr. Alicia Powell,547-29-9991,1964-10-21,"99488 Diamond Motorway, Michaelton, GU 29719",Silver Oak Pharmacy,77951,770,7000,education,xrivera@example.net,975-711-3055,120,163,3,0
APP-000127,Tracey Carter,578-18-2816,1962-05-01,"27261 Carr Field, Port Philipmouth, GU 25480",UrbanCore Services,58789,755,22500,education,daniel60@example.net,917-798-2708,83,37,0,0
APP-000128,Kristen Reynolds,783-33-2402,1998-08-04,"922 Paul Rapid, Williamfurt, MT 80323",Pioneer Foods,39590,668,121500,moving,joshuastuart@example.com,722-698-4858,80,115,1,1
APP-000129,Christina Weber,779-57-5155,1999-07-20,"228 Page Trace Suite 879, Craigside, LA 55864",Silver Oak Pharmacy,103847,714,10500,debt_consolidation,millsanthony@example.org,003-424-4204,147,11,3,0
APP-000130,Joshua Howard,495-79-6546,1958-06-01,"863 Schwartz Causeway, Hughesmouth, OH 07552",Atlas Construction,151121,734,21500,medical,manningjames@example.com,359-893-3472,0,1,4,1
APP-000131,Mrs. Tonya Moss,767-35-1717,1995-04-15,"4842 Brandy Glens, West Stevenberg, AZ 20647",Summit Financial Group,151336,667,44500,debt_consolidation,candice94@example.com,985-158-3281,22,189,3,0
APP-000132,Caitlin Daniels,705-16-6438,1980-03-04,"35554 Stephanie River Suite 801, Seanbury, AZ 89964",Redwood Manufacturing,69556,719,12000,home_improvement,patrick16@example.com,840-858-8770,127,70,3,0
APP-000133,Matthew Flores,793-57-9507,1991-07-23,"88013 Michelle Manors, East Amandachester, SD 09953",Redwood Manufacturing,130501,787,41000,home_improvement,andrewlove@example.org,110-248-1934,118,235,3,0
APP-000134,Jerry Sullivan,487-49-8305,1959-06-09,"180 Katelyn Prairie Apt. 158, West Kristinport, PA 11839",Greenline Telecom,166448,551,9000,major_purchase,kathy76@example.com,072-832-6842,145,81,2,1
APP-000135,Stephen Sanford,765-91-1939,1992-03-06,"88210 Ashley Lock Apt. 435, South Rebecca, PR 67682",Blue Harbor Health,92030,655,50500,major_purchase,eugenewalker@example.com,312-908-7814,2,0,3,1
APP-000136,Danielle Gonzalez,786-14-3068,1998-05-21,"2314 Rachel Island Suite 759, Heatherberg, OK 74800",Blue Harbor Health,113013,783,45000,small_business,lindsey62@example.org,533-645-2577,46,13,2,0
